model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,feature_set,C,half_life_years
advanced__c0.03__hl4.0,2018,0.933305081386492,0.5534252534924475,0.18497475554136616,0.55005382131324,0.027341584433998527,0.557367151163694,929,advanced,0.03,4.0
advanced__c0.03__hl8.0,2018,0.9339467671381773,0.5538315961285709,0.18517303866377077,0.55005382131324,0.028116402581676688,0.5573816608537565,929,advanced,0.03,8.0
advanced__c0.03__hl12.0,2018,0.9343689139888316,0.5540604816205063,0.18527893645831547,0.55005382131324,0.027127669000253433,0.5571719859503339,929,advanced,0.03,12.0
advanced__c0.1__hl4.0,2018,0.9325024921964468,0.5525673575686726,0.18462587099792244,0.5532831001076426,0.025728747639812043,0.558481718385942,929,advanced,0.1,4.0
advanced__c0.1__hl8.0,2018,0.9330156531386854,0.5529306090510243,0.18479647962371382,0.5554359526372443,0.021150711826668823,0.5587837188017087,929,advanced,0.1,8.0
advanced__c0.1__hl12.0,2018,0.9332595586118213,0.5530560297292698,0.18485571506593532,0.5554359526372443,0.028549244351172256,0.558384497094566,929,advanced,0.1,12.0
advanced__c0.3__hl4.0,2018,0.9320622984682355,0.5519108897406468,0.18434108375635383,0.5522066738428417,0.02831154229352358,0.5588415313166539,929,advanced,0.3,4.0
advanced__c0.3__hl8.0,2018,0.9321633431388077,0.5520914020234649,0.18443874188300322,0.5532831001076426,0.033015026107771205,0.5589437482457569,929,advanced,0.3,8.0
advanced__c0.3__hl12.0,2018,0.9323853789775741,0.5522299728291287,0.1845150512746517,0.5543595263724435,0.03590641617062523,0.5588236677880495,929,advanced,0.3,12.0
advanced__c1.0__hl4.0,2018,0.9318308433163249,0.5515109099006016,0.18415918978760026,0.5575888051668461,0.022265432394811092,0.559112819547076,929,advanced,1.0,4.0
advanced__c1.0__hl8.0,2018,0.9322703320965204,0.5519356162287269,0.18438036197340488,0.5543595263724435,0.024063499667148575,0.5595408625707293,929,advanced,1.0,8.0
advanced__c1.0__hl12.0,2018,0.9323248690177058,0.5519343253207342,0.1843697553859036,0.5554359526372443,0.03287202719988381,0.5588834673057037,929,advanced,1.0,12.0
compact__c0.03__hl4.0,2018,0.933987496017268,0.5540375159326697,0.18517994849454167,0.5618945102260495,0.008427987735606216,0.5553094414142755,929,compact,0.03,4.0
compact__c0.03__hl8.0,2018,0.9349239912667143,0.5545971567276864,0.1853928449220989,0.5532831001076426,0.018954118249775796,0.5585417617610163,929,compact,0.03,8.0
compact__c0.03__hl12.0,2018,0.9356373638285873,0.5550257709224897,0.18554798674034242,0.5522066738428417,0.024399363103556816,0.5596039373895979,929,compact,0.03,12.0
compact__c0.1__hl4.0,2018,0.9320227091756886,0.5527038713846473,0.18468868458185111,0.5629709364908504,0.018811855853795988,0.5570567763878853,929,compact,0.1,4.0
compact__c0.1__hl8.0,2018,0.9330517905276343,0.5532917648615117,0.18488599187594104,0.5522066738428417,0.01669887722079101,0.5600062195883257,929,compact,0.1,8.0
