model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,feature_set,C,half_life_years
base__c1.0__hl8.0,2024,0.8988975913166627,0.5291095221824149,0.17360965737009051,0.5874694873881204,0.04499143648360154,0.6159288919654081,1229,base,1.0,8.0
base__c1.0__hl12.0,2024,0.8993897336421793,0.5294511300214949,0.17372045327834876,0.5850284784377543,0.04204271244228012,0.6168309267243267,1229,base,1.0,12.0
advanced__c0.03__hl4.0,2024,0.8994710596095736,0.5310770439649606,0.17474438855112823,0.5899104963384866,0.03537077785123701,0.6135535426773933,1229,advanced,0.03,4.0
advanced__c0.03__hl8.0,2024,0.8999547059584372,0.5313786289462176,0.17471438898090325,0.5931651749389748,0.04130579569247834,0.612909176431955,1229,advanced,0.03,8.0
advanced__c0.03__hl12.0,2024,0.900684321126267,0.531844935406879,0.1748307621059692,0.5923515052888527,0.04389494367923938,0.612479644696067,1229,advanced,0.03,12.0
advanced__c0.1__hl4.0,2024,0.8989672092404626,0.5308405199002418,0.17458241470400745,0.5874694873881204,0.03594049366589053,0.6155162428640849,1229,advanced,0.1,4.0
advanced__c0.1__hl8.0,2024,0.8994373475486795,0.5311175362296551,0.1745546925848962,0.5923515052888527,0.04073808740827395,0.615104786645871,1229,advanced,0.1,8.0
advanced__c0.1__hl12.0,2024,0.9001997326230846,0.5316015897781712,0.17469539229609252,0.5923515052888527,0.043777203250322895,0.6144692719040841,1229,advanced,0.1,12.0
advanced__c0.3__hl4.0,2024,0.8983803103780981,0.5305904841851286,0.1744453397825055,0.5874694873881204,0.031323259861979355,0.6168045733387126,1229,advanced,0.3,4.0
advanced__c0.3__hl8.0,2024,0.8990406342393499,0.5309315868729061,0.17445948791143856,0.5899104963384866,0.038084866448167255,0.6163601599767837,1229,advanced,0.3,8.0
advanced__c0.3__hl12.0,2024,0.8998671616370588,0.5314362789900091,0.17458784775129063,0.5931651749389748,0.04245662029621556,0.6160533196445046,1229,advanced,0.3,12.0
advanced__c1.0__hl4.0,2024,0.8982546475054589,0.5305573977382242,0.1744152711047432,0.5874694873881204,0.03416489608184694,0.6173753180926231,1229,advanced,1.0,4.0
advanced__c1.0__hl8.0,2024,0.89850433713653,0.530623107370074,0.17430157148227557,0.5947925142392189,0.04227719155157526,0.6169919736403605,1229,advanced,1.0,8.0
advanced__c1.0__hl12.0,2024,0.8994042194158858,0.5311625606331006,0.174466740387004,0.5947925142392189,0.04043595495754183,0.6168249194192627,1229,advanced,1.0,12.0
compact__c0.03__hl4.0,2024,0.899638139287367,0.5312544383932265,0.17494183594653812,0.5947925142392189,0.03936788169496998,0.6138503251264082,1229,compact,0.03,4.0
compact__c0.03__hl8.0,2024,0.8992657508666445,0.5310268602518932,0.17463647314144132,0.595606183889341,0.04953220189251634,0.615492323279997,1229,compact,0.03,8.0
compact__c0.03__hl12.0,2024,0.8996505552073688,0.5312878525786902,0.17463611965968265,0.596419853539463,0.05273243286571396,0.6162817570753601,1229,compact,0.03,12.0
compact__c0.1__hl4.0,2024,0.8990983500380916,0.5309545824176475,0.17481347671510303,0.5923515052888527,0.036785227209581654,0.6155534109510234,1229,compact,0.1,4.0
compact__c0.1__hl8.0,2024,0.8987426007282797,0.5307332383417305,0.1745056928029433,0.5923515052888527,0.04404915882555374,0.6175031990029651,1229,compact,0.1,8.0
compact__c0.1__hl12.0,2024,0.8991018881261487,0.5309771047393854,0.17449356017495657,0.595606183889341,0.048919065133827405,0.618504456522987,1229,compact,0.1,12.0
compact__c0.3__hl4.0,2024,0.8982058554246818,0.5304212394787947,0.17457344466924524,0.5923515052888527,0.03472033672627153,0.6167035010084725,1229,compact,0.3,4.0
compact__c0.3__hl8.0,2024,0.898030406221682,0.5303006982369943,0.1743111005318783,0.5931651749389748,0.03951621707046277,0.618611319858179,1229,compact,0.3,8.0
compact__c0.3__hl12.0,2024,0.8982729269462547,0.5304736073809548,0.1742691760310007,0.595606183889341,0.042486810102027185,0.6198948799772921,1229,compact,0.3,12.0
compact__c1.0__hl4.0,2024,0.8976897975144853,0.5300900147726272,0.17442905394113017,0.5923515052888527,0.03778643790148716,0.6176063660894968,1229,compact,1.0,4.0
compact__c1.0__hl8.0,2024,0.8973506533251873,0.5298962958283334,0.17413458527256795,0.5923515052888527,0.0346818769006428,0.6198281652757267,1229,compact,1.0,8.0
compact__c1.0__hl12.0,2024,0.8977913435877813,0.5301749157684457,0.17413719257286905,0.5939788445890968,0.03772304326212877,0.6210284177029666,1229,compact,1.0,12.0
