model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,feature_set,C,half_life_years
compact_v2__c1.0__hlNone,2018,0.929675092681665,0.5505786200178425,0.183726178444412,0.5597416576964478,0.014902483420836686,0.5599081305311994,929,compact_v2,1.0,
compact_v2__c3.0__hl8.0,2018,0.9286730167051668,0.5500373376383896,0.1834974370748359,0.5565123789020452,0.022243550319453385,0.5563721597100283,929,compact_v2,3.0,8.0
compact_v2__c3.0__hl12.0,2018,0.928709035231604,0.5499544214108071,0.18347398758446493,0.5586652314316469,0.01925129114455349,0.5576555867050802,929,compact_v2,3.0,12.0
compact_v2__c3.0__hl20.0,2018,0.9289402199680774,0.5501066341314448,0.1835444996231995,0.5597416576964478,0.0133136787830957,0.5584180824583318,929,compact_v2,3.0,20.0
compact_v2__c3.0__hlNone,2018,0.9293039111894545,0.5503259076550315,0.1836150648960285,0.5586652314316469,0.01793295701970937,0.5601103462761176,929,compact_v2,3.0,
compact_fifa__c0.1__hl8.0,2018,0.9137342037428919,0.5398309530543873,0.17951577335005994,0.5758880516684607,0.032107182125941325,0.5670030233877903,929,compact_fifa,0.1,8.0
compact_fifa__c0.1__hl12.0,2018,0.9149756702185027,0.540625755653875,0.1798901198967707,0.5726587728740581,0.028138305816536754,0.5640347104279229,929,compact_fifa,0.1,12.0
compact_fifa__c0.1__hl20.0,2018,0.916454532178525,0.5415584690608989,0.1802989524996903,0.5705059203444564,0.03737585462631818,0.5617190564621392,929,compact_fifa,0.1,20.0
compact_fifa__c0.1__hlNone,2018,0.9187199435250685,0.5429671868907453,0.18092017200060512,0.566200215285253,0.027913584709939623,0.55908645876717,929,compact_fifa,0.1,
compact_fifa__c0.3__hl8.0,2018,0.9126025987794116,0.5389645315277353,0.17915166125550072,0.5791173304628633,0.030811888569852258,0.5669542080782645,929,compact_fifa,0.3,8.0
compact_fifa__c0.3__hl12.0,2018,0.9137624946607419,0.5396910430360001,0.17946405404884497,0.573735199138859,0.026841438390003455,0.5639508555877457,929,compact_fifa,0.3,12.0
compact_fifa__c0.3__hl20.0,2018,0.9149602373523354,0.5404607879159132,0.1798078493129125,0.573735199138859,0.029862992118248013,0.5617906607854251,929,compact_fifa,0.3,20.0
compact_fifa__c0.3__hlNone,2018,0.9176842500291827,0.5421788960556226,0.18056123103822833,0.5683530678148547,0.02597835508690862,0.5595395749323346,929,compact_fifa,0.3,
compact_fifa__c1.0__hl8.0,2018,0.9118068127864342,0.5384276981512893,0.17892887600371055,0.5748116254036598,0.018868759640479016,0.5660566616152922,929,compact_fifa,1.0,8.0
compact_fifa__c1.0__hl12.0,2018,0.9127443829073082,0.5391097694925172,0.1792305056729889,0.5726587728740581,0.013016491527183972,0.5631423140083582,929,compact_fifa,1.0,12.0
compact_fifa__c1.0__hl20.0,2018,0.9142197907475316,0.5400152881905615,0.17962325682461802,0.5748116254036598,0.02261676236799554,0.5612879168935038,929,compact_fifa,1.0,20.0
compact_fifa__c1.0__hlNone,2018,0.9168240576413753,0.54172087884195,0.18035810049193388,0.5705059203444564,0.02551839753540159,0.5589749935991866,929,compact_fifa,1.0,
compact_fifa__c3.0__hl8.0,2018,0.9112501308736352,0.5381741845034758,0.1788224172151777,0.5780409041980624,0.014593481885379716,0.5657572489105679,929,compact_fifa,3.0,8.0
compact_fifa__c3.0__hl12.0,2018,0.9124591956538743,0.5389834105652752,0.1791757640762719,0.5705059203444564,0.019298196366756327,0.5624254089371841,929,compact_fifa,3.0,12.0
compact_fifa__c3.0__hl20.0,2018,0.913614828230305,0.5397618135982487,0.17951372929568168,0.5726587728740581,0.0178122095151468,0.5604874168344359,929,compact_fifa,3.0,20.0
compact_fifa__c3.0__hlNone,2018,0.9162211529733076,0.5414017846784114,0.18020918710781297,0.5683530678148547,0.024954277436053586,0.5585651000736523,929,compact_fifa,3.0,
class_prior,2021,1.04502334546284,0.6295193872647714,0.22747390300668135,0.48699551569506727,0.0013865763068283687,0.4856089393882389,1115,baseline,,
elo_logistic,2021,0.8110173311894019,0.4729951025845761,0.15226266219457021,0.6439461883408072,0.033767592487295155,0.6185329256337042,1115,baseline,,
compact_v2__c0.1__hl8.0,2021,0.7988642002863073,0.4654888659077743,0.14958007552092165,0.6439461883408072,0.02783290094163849,0.6300109971319604,1115,compact_v2,0.1,8.0
compact_v2__c0.1__hl12.0,2021,0.7980523452488214,0.4650068091341617,0.14936834112510994,0.6457399103139013,0.023801129492786628,0.6314593996633829,1115,compact_v2,0.1,12.0
compact_v2__c0.1__hl20.0,2021,0.7975013852406183,0.46466945553942984,0.14922242022626334,0.6448430493273543,0.028942460517757437,0.6330054479840367,1115,compact_v2,0.1,20.0
compact_v2__c0.1__hlNone,2021,0.7972916201217806,0.4645317411415744,0.14910325846027925,0.6448430493273543,0.02727894822882497,0.6363669152851935,1115,compact_v2,0.1,
compact_v2__c0.3__hl8.0,2021,0.7984973865901619,0.4651944046410186,0.1494695762227226,0.6439461883408072,0.02707237479272798,0.6305457569751294,1115,compact_v2,0.3,8.0
compact_v2__c0.3__hl12.0,2021,0.7977303257635239,0.4647677438033527,0.14927281011970528,0.6466367713004484,0.027863437876281084,0.6317626645905675,1115,compact_v2,0.3,12.0
